county,precinct_code,precinct_name,location_name,address,city,zip,election_year,county_clerk_url
Albany,COUNTYWIDE,Countywide vote center,Albany County Fairgrounds,"3510 S. 3rd Street, Laramie, WY 82070",__countywide__,,2026,https://www.albanycountywy.gov/1591/Vote-Centers
Albany,COUNTYWIDE,Countywide vote center,Albany County Public Library,"310 S. 8th Street, Laramie, WY 82070",__countywide__,,2026,https://www.albanycountywy.gov/1591/Vote-Centers
Albany,COUNTYWIDE,Countywide vote center,Centennial School,"2771 HWY 130, Laramie, WY 82055",__countywide__,,2026,https://www.albanycountywy.gov/1591/Vote-Centers
Albany,COUNTYWIDE,Countywide vote center,Harmony School,"20 Lewis Road, Laramie, WY 82070",__countywide__,,2026,https://www.albanycountywy.gov/1591/Vote-Centers
Albany,COUNTYWIDE,Countywide vote center,Laramie Peak Fire Hall,"1836 Cottonwood Park Road, Wheatland, WY 82201",__countywide__,,2026,https://www.albanycountywy.gov/1591/Vote-Centers
Albany,COUNTYWIDE,Countywide vote center,Lincoln Community Center,"365 W. Grand Avenue, Laramie, WY 82070",__countywide__,,2026,https://www.albanycountywy.gov/1591/Vote-Centers
Albany,COUNTYWIDE,Countywide vote center,MHR Gateway Center,"222 S. 22nd Street, Laramie, WY 82070",__countywide__,,2026,https://www.albanycountywy.gov/1591/Vote-Centers
Albany,COUNTYWIDE,Countywide vote center,Municipal Operations Center,"4373 N. 3rd Street, Laramie, WY 82072",__countywide__,,2026,https://www.albanycountywy.gov/1591/Vote-Centers
Albany,COUNTYWIDE,Countywide vote center,Rock River Town Hall,"386 Avenue D, Rock River, WY 82083",__countywide__,,2026,https://www.albanycountywy.gov/1591/Vote-Centers
Albany,COUNTYWIDE,Countywide vote center,Sybille Wildlife Research Unit,"2362 HWY 34, Wheatland, WY 82201",__countywide__,,2026,https://www.albanycountywy.gov/1591/Vote-Centers
