county,precinct_code,precinct_name,location_name,address,city,zip,election_year,county_clerk_url
Big Horn,01-01,Basin,Big Horn County Fair Grounds,"315 Holdrege Ave, Basin, WY 82410",Basin,82410,2026,https://www.bighorncountywy.gov/government/elected-officials/county-clerk/
Big Horn,02-01,Burlington,Burlington Fire Hall,"114 N Main St, Burlington, WY 82411",Burlington,82411,2026,https://www.bighorncountywy.gov/government/elected-officials/county-clerk/
Big Horn,03-01,Otto,Burlington Fire Hall,"114 N Main St, Burlington, WY 82411",Otto,,2026,https://www.bighorncountywy.gov/government/elected-officials/county-clerk/
Big Horn,05-01,Emblem,Irrigation District Office,"989 US Hwy 20 W, Emblem, WY 82422",Emblem,82422,2026,https://www.bighorncountywy.gov/government/elected-officials/county-clerk/
Big Horn,06-01,Hyattville,Hyattville Community Center,"308 S Main St, Hyattville, WY 82428",Hyattville,82428,2026,https://www.bighorncountywy.gov/government/elected-officials/county-clerk/
Big Horn,08-01,Manderson,Manderson Town Hall,"100 W Railway Ave, Manderson, WY 82432",Manderson,82432,2026,https://www.bighorncountywy.gov/government/elected-officials/county-clerk/
Big Horn,11-01,Greybull,Elks Lodge,"622 Greybull Ave, Greybull, WY 82426",Greybull,82426,2026,https://www.bighorncountywy.gov/government/elected-officials/county-clerk/
Big Horn,16-01,Shell,Shell Community Hall,"201 Smith Ave, Shell, WY 82441",Shell,82441,2026,https://www.bighorncountywy.gov/government/elected-officials/county-clerk/
Big Horn,20-01,Lovell,Lovell Community Center,"1925 Hwy 310, Lovell, WY 82431",Lovell,82431,2026,https://www.bighorncountywy.gov/government/elected-officials/county-clerk/
Big Horn,22-01,Cowley,Cowley Town Hall / Log Gym,"55 E 1st St S, Cowley, WY 82420",Cowley,82420,2026,https://www.bighorncountywy.gov/government/elected-officials/county-clerk/
Big Horn,23-01,Byron,Byron Town Complex,"35 S Pryor St, Byron, WY 82412",Byron,82412,2026,https://www.bighorncountywy.gov/government/elected-officials/county-clerk/
Big Horn,25-01,Deaver,Deaver Community Hall,"113 1st Ave W, Deaver, WY 82421",Deaver,82421,2026,https://www.bighorncountywy.gov/government/elected-officials/county-clerk/
Big Horn,26-01,Frannie,Frannie Community Center,"305 5th St, Frannie, WY 82423",Frannie,82423,2026,https://www.bighorncountywy.gov/government/elected-officials/county-clerk/
