# Candidates/db/seed/polling_locations_natrona.csv
county,precinct_code,precinct_name,location_name,address,city,zip,election_year,county_clerk_url
Natrona,1-1,1-1,Urban Thistle Farm,"1014 Glenarm St, Casper, WY",Casper,,2026,https://www.natronacounty-wy.gov/194/Elections
Natrona,1-2,1-2,Natrona County Public Library,"307 E 2nd St, Casper, WY",Casper,,2026,https://www.natronacounty-wy.gov/194/Elections
Natrona,1-3,1-3,Industrial Building,"1700 Fairgrounds Rd, Casper, WY",Casper,,2026,https://www.natronacounty-wy.gov/194/Elections
Natrona,1-4,1-4,Thunderbird Gym - Casper College,"1944 Lisco Dr, Casper, WY",Casper,,2026,https://www.natronacounty-wy.gov/194/Elections
Natrona,1-5,1-5,Industrial Building,"1700 Fairgrounds Rd, Casper, WY",Casper,,2026,https://www.natronacounty-wy.gov/194/Elections
Natrona,1-6,1-6,Industrial Building,"1700 Fairgrounds Rd, Casper, WY",Casper,,2026,https://www.natronacounty-wy.gov/194/Elections
Natrona,1-7,1-7,Senior Citizens Center,"1831 E 4th St, Casper, WY",Casper,,2026,https://www.natronacounty-wy.gov/194/Elections
Natrona,1-9,1-9,Industrial Building,"1700 Fairgrounds Rd, Casper, WY",Casper,,2026,https://www.natronacounty-wy.gov/194/Elections
Natrona,1-11,1-11,Industrial Building,"1700 Fairgrounds Rd, Casper, WY",Casper,,2026,https://www.natronacounty-wy.gov/194/Elections
Natrona,1-12,1-12,Industrial Building,"1700 Fairgrounds Rd, Casper, WY",Casper,,2026,https://www.natronacounty-wy.gov/194/Elections
Natrona,2-1,2-1,Industrial Building,"1700 Fairgrounds Rd, Casper, WY",Casper,,2026,https://www.natronacounty-wy.gov/194/Elections
Natrona,2-2,2-2,Industrial Building,"1700 Fairgrounds Rd, Casper, WY",Casper,,2026,https://www.natronacounty-wy.gov/194/Elections
Natrona,2-3,2-3,Industrial Building,"1700 Fairgrounds Rd, Casper, WY",Casper,,2026,https://www.natronacounty-wy.gov/194/Elections
Natrona,2-4,2-4,Industrial Building,"1700 Fairgrounds Rd, Casper, WY",Casper,,2026,https://www.natronacounty-wy.gov/194/Elections
