election_key,source_key,county,contest_key,contest_name_raw,contest_name_normalized,level,district,ballot_party,ballot_party_raw,reporting_scope,sha256,retrieved_at,source_published_at,parser_name,parser_version,is_unofficial,verification_status,source_url,precincts_reporting,precincts_total,reporting_status,row_type,reporting_county,precinct_code,precinct_name_raw,candidate_name_raw,candidate_name_normalized,external_candidate_id,votes,percentage_reported,result_row_key
wy-2026-primary,wy|fremont|wy-2026-primary|county_local_summary,Fremont,wy-2026-primary|county|fremont|county-commissioner-district-1|rep,REP COMMISSIONER DIST 1,County Commissioner District 1,county,,REP,REP,county,fe4a0e6e6381cbc66280ce46581f11eb98254a88a4f2f3823d370035abb143d4,2026-08-21T12:28:01Z,,county_summary_pdf_v1,1.1.4,1,needs_review,https://fremontcountywy.gov/government/elections___voting.php,,,county_complete,candidate,Fremont,,,DAVID MOSSBURG,DAVID MOSSBURG,,255,,wy|fremont|wy-2026-primary|county_local_summary|fe4a0e6e6381cbc66280ce46581f11eb98254a88a4f2f3823d370035abb143d4|wy-2026-primary|county|fremont|county-commissioner-district-1|rep|candidate|DAVID MOSSBURG|Fremont|COUNTY
wy-2026-primary,wy|fremont|wy-2026-primary|county_local_summary,Fremont,wy-2026-primary|county|fremont|county-commissioner-district-1|rep,REP COMMISSIONER DIST 1,County Commissioner District 1,county,,REP,REP,county,fe4a0e6e6381cbc66280ce46581f11eb98254a88a4f2f3823d370035abb143d4,2026-08-21T12:28:01Z,,county_summary_pdf_v1,1.1.4,1,needs_review,https://fremontcountywy.gov/government/elections___voting.php,,,county_complete,candidate,Fremont,,,CLARENCE V. THOMAS,CLARENCE V. THOMAS,,227,,wy|fremont|wy-2026-primary|county_local_summary|fe4a0e6e6381cbc66280ce46581f11eb98254a88a4f2f3823d370035abb143d4|wy-2026-primary|county|fremont|county-commissioner-district-1|rep|candidate|CLARENCE V. THOMAS|Fremont|COUNTY
wy-2026-primary,wy|fremont|wy-2026-primary|county_local_summary,Fremont,wy-2026-primary|county|fremont|county-commissioner-district-1|rep,REP COMMISSIONER DIST 1,County Commissioner District 1,county,,REP,REP,county,fe4a0e6e6381cbc66280ce46581f11eb98254a88a4f2f3823d370035abb143d4,2026-08-21T12:28:01Z,,county_summary_pdf_v1,1.1.4,1,needs_review,https://fremontcountywy.gov/government/elections___voting.php,,,county_complete,write_in_aggregate,Fremont,,,,,,4,,wy|fremont|wy-2026-primary|county_local_summary|fe4a0e6e6381cbc66280ce46581f11eb98254a88a4f2f3823d370035abb143d4|wy-2026-primary|county|fremont|county-commissioner-district-1|rep|write_in_aggregate|write_in_aggregate|Fremont|COUNTY
wy-2026-primary,wy|fremont|wy-2026-primary|county_local_summary,Fremont,wy-2026-primary|county|fremont|county-commissioner-district-3|rep,REP COMMISSIONER DIST 3,County Commissioner District 3,county,,REP,REP,county,fe4a0e6e6381cbc66280ce46581f11eb98254a88a4f2f3823d370035abb143d4,2026-08-21T12:28:01Z,,county_summary_pdf_v1,1.1.4,1,needs_review,https://fremontcountywy.gov/government/elections___voting.php,,,county_complete,candidate,Fremont,,,RON FABRIZIUS,RON FABRIZIUS,,664,,wy|fremont|wy-2026-primary|county_local_summary|fe4a0e6e6381cbc66280ce46581f11eb98254a88a4f2f3823d370035abb143d4|wy-2026-primary|county|fremont|county-commissioner-district-3|rep|candidate|RON FABRIZIUS|Fremont|COUNTY
wy-2026-primary,wy|fremont|wy-2026-primary|county_local_summary,Fremont,wy-2026-primary|county|fremont|county-commissioner-district-3|rep,REP COMMISSIONER DIST 3,County Commissioner District 3,county,,REP,REP,county,fe4a0e6e6381cbc66280ce46581f11eb98254a88a4f2f3823d370035abb143d4,2026-08-21T12:28:01Z,,county_summary_pdf_v1,1.1.4,1,needs_review,https://fremontcountywy.gov/government/elections___voting.php,,,county_complete,candidate,Fremont,,,RYAN W PRESTON,RYAN W PRESTON,,456,,wy|fremont|wy-2026-primary|county_local_summary|fe4a0e6e6381cbc66280ce46581f11eb98254a88a4f2f3823d370035abb143d4|wy-2026-primary|county|fremont|county-commissioner-district-3|rep|candidate|RYAN W PRESTON|Fremont|COUNTY
wy-2026-primary,wy|fremont|wy-2026-primary|county_local_summary,Fremont,wy-2026-primary|county|fremont|county-commissioner-district-3|rep,REP COMMISSIONER DIST 3,County Commissioner District 3,county,,REP,REP,county,fe4a0e6e6381cbc66280ce46581f11eb98254a88a4f2f3823d370035abb143d4,2026-08-21T12:28:01Z,,county_summary_pdf_v1,1.1.4,1,needs_review,https://fremontcountywy.gov/government/elections___voting.php,,,county_complete,candidate,Fremont,,,SHANELL STANLEY,SHANELL STANLEY,,762,,wy|fremont|wy-2026-primary|county_local_summary|fe4a0e6e6381cbc66280ce46581f11eb98254a88a4f2f3823d370035abb143d4|wy-2026-primary|county|fremont|county-commissioner-district-3|rep|candidate|SHANELL STANLEY|Fremont|COUNTY
wy-2026-primary,wy|fremont|wy-2026-primary|county_local_summary,Fremont,wy-2026-primary|county|fremont|county-commissioner-district-3|rep,REP COMMISSIONER DIST 3,County Commissioner District 3,county,,REP,REP,county,fe4a0e6e6381cbc66280ce46581f11eb98254a88a4f2f3823d370035abb143d4,2026-08-21T12:28:01Z,,county_summary_pdf_v1,1.1.4,1,needs_review,https://fremontcountywy.gov/government/elections___voting.php,,,county_complete,write_in_aggregate,Fremont,,,,,,6,,wy|fremont|wy-2026-primary|county_local_summary|fe4a0e6e6381cbc66280ce46581f11eb98254a88a4f2f3823d370035abb143d4|wy-2026-primary|county|fremont|county-commissioner-district-3|rep|write_in_aggregate|write_in_aggregate|Fremont|COUNTY
wy-2026-primary,wy|fremont|wy-2026-primary|county_local_summary,Fremont,wy-2026-primary|county|fremont|county-commissioner-district-4|rep,REP COMMISSIONER DISTRICT 4,County Commissioner District 4,county,,REP,REP,county,fe4a0e6e6381cbc66280ce46581f11eb98254a88a4f2f3823d370035abb143d4,2026-08-21T12:28:01Z,,county_summary_pdf_v1,1.1.4,1,needs_review,https://fremontcountywy.gov/government/elections___voting.php,,,county_complete,candidate,Fremont,,,J. D. CARPER,J. D. CARPER,,555,,wy|fremont|wy-2026-primary|county_local_summary|fe4a0e6e6381cbc66280ce46581f11eb98254a88a4f2f3823d370035abb143d4|wy-2026-primary|county|fremont|county-commissioner-district-4|rep|candidate|J. D. CARPER|Fremont|COUNTY
wy-2026-primary,wy|fremont|wy-2026-primary|county_local_summary,Fremont,wy-2026-primary|county|fremont|county-commissioner-district-4|rep,REP COMMISSIONER DISTRICT 4,County Commissioner District 4,county,,REP,REP,county,fe4a0e6e6381cbc66280ce46581f11eb98254a88a4f2f3823d370035abb143d4,2026-08-21T12:28:01Z,,county_summary_pdf_v1,1.1.4,1,needs_review,https://fremontcountywy.gov/government/elections___voting.php,,,county_complete,candidate,Fremont,,,CHRISTY HIRASAWA GABEL,CHRISTY HIRASAWA GABEL,,356,,wy|fremont|wy-2026-primary|county_local_summary|fe4a0e6e6381cbc66280ce46581f11eb98254a88a4f2f3823d370035abb143d4|wy-2026-primary|county|fremont|county-commissioner-district-4|rep|candidate|CHRISTY HIRASAWA GABEL|Fremont|COUNTY
wy-2026-primary,wy|fremont|wy-2026-primary|county_local_summary,Fremont,wy-2026-primary|county|fremont|county-commissioner-district-4|rep,REP COMMISSIONER DISTRICT 4,County Commissioner District 4,county,,REP,REP,county,fe4a0e6e6381cbc66280ce46581f11eb98254a88a4f2f3823d370035abb143d4,2026-08-21T12:28:01Z,,county_summary_pdf_v1,1.1.4,1,needs_review,https://fremontcountywy.gov/government/elections___voting.php,,,county_complete,candidate,Fremont,,,STEFF KESSLER,STEFF KESSLER,,902,,wy|fremont|wy-2026-primary|county_local_summary|fe4a0e6e6381cbc66280ce46581f11eb98254a88a4f2f3823d370035abb143d4|wy-2026-primary|county|fremont|county-commissioner-district-4|rep|candidate|STEFF KESSLER|Fremont|COUNTY
