election_key,source_key,county,contest_key,contest_name_raw,contest_name_normalized,level,district,ballot_party,ballot_party_raw,reporting_scope,sha256,retrieved_at,source_published_at,parser_name,parser_version,is_unofficial,verification_status,source_url,precincts_reporting,precincts_total,reporting_status,row_type,reporting_county,precinct_code,precinct_name_raw,candidate_name_raw,candidate_name_normalized,external_candidate_id,votes,percentage_reported,result_row_key
wy-2026-primary,wy|sweetwater|wy-2026-primary|county_local_summary,Sweetwater,wy-2026-primary|county|sweetwater|county-commissioner|rep,REP COUNTY COMMISSIONER,County Commissioner,county,,REP,REP,county,5947c9082afaa5cf507e0ed33a4d62ad34461f1cfbe9ba9976c69385593a5464,2026-08-21T11:30:57Z,,county_summary_pdf_v1,1.1.1,1,verified,https://www.sweetwatercountywy.gov/departments/county_clerk/elections.php,,,county_complete,candidate,Sweetwater,,,SHERRY BUSHMAN,SHERRY BUSHMAN,,3345,,wy|sweetwater|wy-2026-primary|county_local_summary|5947c9082afaa5cf507e0ed33a4d62ad34461f1cfbe9ba9976c69385593a5464|wy-2026-primary|county|sweetwater|county-commissioner|rep|candidate|SHERRY BUSHMAN|Sweetwater|COUNTY
wy-2026-primary,wy|sweetwater|wy-2026-primary|county_local_summary,Sweetwater,wy-2026-primary|county|sweetwater|county-commissioner|rep,REP COUNTY COMMISSIONER,County Commissioner,county,,REP,REP,county,5947c9082afaa5cf507e0ed33a4d62ad34461f1cfbe9ba9976c69385593a5464,2026-08-21T11:30:57Z,,county_summary_pdf_v1,1.1.1,1,verified,https://www.sweetwatercountywy.gov/departments/county_clerk/elections.php,,,county_complete,candidate,Sweetwater,,,WALTER MAJKO,WALTER MAJKO,,2090,,wy|sweetwater|wy-2026-primary|county_local_summary|5947c9082afaa5cf507e0ed33a4d62ad34461f1cfbe9ba9976c69385593a5464|wy-2026-primary|county|sweetwater|county-commissioner|rep|candidate|WALTER MAJKO|Sweetwater|COUNTY
wy-2026-primary,wy|sweetwater|wy-2026-primary|county_local_summary,Sweetwater,wy-2026-primary|county|sweetwater|county-commissioner|rep,REP COUNTY COMMISSIONER,County Commissioner,county,,REP,REP,county,5947c9082afaa5cf507e0ed33a4d62ad34461f1cfbe9ba9976c69385593a5464,2026-08-21T11:30:57Z,,county_summary_pdf_v1,1.1.1,1,verified,https://www.sweetwatercountywy.gov/departments/county_clerk/elections.php,,,county_complete,candidate,Sweetwater,,,ISLAND RICHARDS,ISLAND RICHARDS,,4271,,wy|sweetwater|wy-2026-primary|county_local_summary|5947c9082afaa5cf507e0ed33a4d62ad34461f1cfbe9ba9976c69385593a5464|wy-2026-primary|county|sweetwater|county-commissioner|rep|candidate|ISLAND RICHARDS|Sweetwater|COUNTY
wy-2026-primary,wy|sweetwater|wy-2026-primary|county_local_summary,Sweetwater,wy-2026-primary|county|sweetwater|county-commissioner|rep,REP COUNTY COMMISSIONER,County Commissioner,county,,REP,REP,county,5947c9082afaa5cf507e0ed33a4d62ad34461f1cfbe9ba9976c69385593a5464,2026-08-21T11:30:57Z,,county_summary_pdf_v1,1.1.1,1,verified,https://www.sweetwatercountywy.gov/departments/county_clerk/elections.php,,,county_complete,candidate,Sweetwater,,,KEATON D. WEST,KEATON D. WEST,,4403,,wy|sweetwater|wy-2026-primary|county_local_summary|5947c9082afaa5cf507e0ed33a4d62ad34461f1cfbe9ba9976c69385593a5464|wy-2026-primary|county|sweetwater|county-commissioner|rep|candidate|KEATON D. WEST|Sweetwater|COUNTY
wy-2026-primary,wy|sweetwater|wy-2026-primary|county_local_summary,Sweetwater,wy-2026-primary|county|sweetwater|county-commissioner|rep,REP COUNTY COMMISSIONER,County Commissioner,county,,REP,REP,county,5947c9082afaa5cf507e0ed33a4d62ad34461f1cfbe9ba9976c69385593a5464,2026-08-21T11:30:57Z,,county_summary_pdf_v1,1.1.1,1,verified,https://www.sweetwatercountywy.gov/departments/county_clerk/elections.php,,,county_complete,write_in_aggregate,Sweetwater,,,,,,103,,wy|sweetwater|wy-2026-primary|county_local_summary|5947c9082afaa5cf507e0ed33a4d62ad34461f1cfbe9ba9976c69385593a5464|wy-2026-primary|county|sweetwater|county-commissioner|rep|write_in_aggregate|write_in_aggregate|Sweetwater|COUNTY
wy-2026-primary,wy|sweetwater|wy-2026-primary|county_local_summary,Sweetwater,wy-2026-primary|county|sweetwater|county-commissioner|rep,REP COUNTY COMMISSIONER,County Commissioner,county,,REP,REP,county,5947c9082afaa5cf507e0ed33a4d62ad34461f1cfbe9ba9976c69385593a5464,2026-08-21T11:30:57Z,,county_summary_pdf_v1,1.1.1,1,verified,https://www.sweetwatercountywy.gov/departments/county_clerk/elections.php,,,county_complete,overvote,Sweetwater,,,,,,18,,wy|sweetwater|wy-2026-primary|county_local_summary|5947c9082afaa5cf507e0ed33a4d62ad34461f1cfbe9ba9976c69385593a5464|wy-2026-primary|county|sweetwater|county-commissioner|rep|overvote|overvote|Sweetwater|COUNTY
wy-2026-primary,wy|sweetwater|wy-2026-primary|county_local_summary,Sweetwater,wy-2026-primary|county|sweetwater|county-commissioner|rep,REP COUNTY COMMISSIONER,County Commissioner,county,,REP,REP,county,5947c9082afaa5cf507e0ed33a4d62ad34461f1cfbe9ba9976c69385593a5464,2026-08-21T11:30:57Z,,county_summary_pdf_v1,1.1.1,1,verified,https://www.sweetwatercountywy.gov/departments/county_clerk/elections.php,,,county_complete,undervote,Sweetwater,,,,,,7238,,wy|sweetwater|wy-2026-primary|county_local_summary|5947c9082afaa5cf507e0ed33a4d62ad34461f1cfbe9ba9976c69385593a5464|wy-2026-primary|county|sweetwater|county-commissioner|rep|undervote|undervote|Sweetwater|COUNTY
wy-2026-primary,wy|sweetwater|wy-2026-primary|county_local_summary,Sweetwater,wy-2026-primary|county|sweetwater|county-coroner|rep,REP COUNTY CORONER,County Coroner,county,,REP,REP,county,5947c9082afaa5cf507e0ed33a4d62ad34461f1cfbe9ba9976c69385593a5464,2026-08-21T11:30:57Z,,county_summary_pdf_v1,1.1.1,1,verified,https://www.sweetwatercountywy.gov/departments/county_clerk/elections.php,,,county_complete,candidate,Sweetwater,,,TRAVIS R. SANDERS,TRAVIS R. SANDERS,,6065,,wy|sweetwater|wy-2026-primary|county_local_summary|5947c9082afaa5cf507e0ed33a4d62ad34461f1cfbe9ba9976c69385593a5464|wy-2026-primary|county|sweetwater|county-coroner|rep|candidate|TRAVIS R. SANDERS|Sweetwater|COUNTY
wy-2026-primary,wy|sweetwater|wy-2026-primary|county_local_summary,Sweetwater,wy-2026-primary|county|sweetwater|county-coroner|rep,REP COUNTY CORONER,County Coroner,county,,REP,REP,county,5947c9082afaa5cf507e0ed33a4d62ad34461f1cfbe9ba9976c69385593a5464,2026-08-21T11:30:57Z,,county_summary_pdf_v1,1.1.1,1,verified,https://www.sweetwatercountywy.gov/departments/county_clerk/elections.php,,,county_complete,write_in_aggregate,Sweetwater,,,,,,36,,wy|sweetwater|wy-2026-primary|county_local_summary|5947c9082afaa5cf507e0ed33a4d62ad34461f1cfbe9ba9976c69385593a5464|wy-2026-primary|county|sweetwater|county-coroner|rep|write_in_aggregate|write_in_aggregate|Sweetwater|COUNTY
wy-2026-primary,wy|sweetwater|wy-2026-primary|county_local_summary,Sweetwater,wy-2026-primary|county|sweetwater|county-coroner|rep,REP COUNTY CORONER,County Coroner,county,,REP,REP,county,5947c9082afaa5cf507e0ed33a4d62ad34461f1cfbe9ba9976c69385593a5464,2026-08-21T11:30:57Z,,county_summary_pdf_v1,1.1.1,1,verified,https://www.sweetwatercountywy.gov/departments/county_clerk/elections.php,,,county_complete,overvote,Sweetwater,,,,,,1,,wy|sweetwater|wy-2026-primary|county_local_summary|5947c9082afaa5cf507e0ed33a4d62ad34461f1cfbe9ba9976c69385593a5464|wy-2026-primary|county|sweetwater|county-coroner|rep|overvote|overvote|Sweetwater|COUNTY
wy-2026-primary,wy|sweetwater|wy-2026-primary|county_local_summary,Sweetwater,wy-2026-primary|county|sweetwater|county-coroner|rep,REP COUNTY CORONER,County Coroner,county,,REP,REP,county,5947c9082afaa5cf507e0ed33a4d62ad34461f1cfbe9ba9976c69385593a5464,2026-08-21T11:30:57Z,,county_summary_pdf_v1,1.1.1,1,verified,https://www.sweetwatercountywy.gov/departments/county_clerk/elections.php,,,county_complete,undervote,Sweetwater,,,,,,1054,,wy|sweetwater|wy-2026-primary|county_local_summary|5947c9082afaa5cf507e0ed33a4d62ad34461f1cfbe9ba9976c69385593a5464|wy-2026-primary|county|sweetwater|county-coroner|rep|undervote|undervote|Sweetwater|COUNTY
wy-2026-primary,wy|sweetwater|wy-2026-primary|county_local_summary,Sweetwater,wy-2026-primary|county|sweetwater|county-attorney|rep,REP COUNTY ATTORNEY,County Attorney,county,,REP,REP,county,5947c9082afaa5cf507e0ed33a4d62ad34461f1cfbe9ba9976c69385593a5464,2026-08-21T11:30:57Z,,county_summary_pdf_v1,1.1.1,1,verified,https://www.sweetwatercountywy.gov/departments/county_clerk/elections.php,,,county_complete,candidate,Sweetwater,,,DANIEL E. ERRAMOUSPE,DANIEL E. ERRAMOUSPE,,5915,,wy|sweetwater|wy-2026-primary|county_local_summary|5947c9082afaa5cf507e0ed33a4d62ad34461f1cfbe9ba9976c69385593a5464|wy-2026-primary|county|sweetwater|county-attorney|rep|candidate|DANIEL E. ERRAMOUSPE|Sweetwater|COUNTY
wy-2026-primary,wy|sweetwater|wy-2026-primary|county_local_summary,Sweetwater,wy-2026-primary|county|sweetwater|county-attorney|rep,REP COUNTY ATTORNEY,County Attorney,county,,REP,REP,county,5947c9082afaa5cf507e0ed33a4d62ad34461f1cfbe9ba9976c69385593a5464,2026-08-21T11:30:57Z,,county_summary_pdf_v1,1.1.1,1,verified,https://www.sweetwatercountywy.gov/departments/county_clerk/elections.php,,,county_complete,write_in_aggregate,Sweetwater,,,,,,98,,wy|sweetwater|wy-2026-primary|county_local_summary|5947c9082afaa5cf507e0ed33a4d62ad34461f1cfbe9ba9976c69385593a5464|wy-2026-primary|county|sweetwater|county-attorney|rep|write_in_aggregate|write_in_aggregate|Sweetwater|COUNTY
wy-2026-primary,wy|sweetwater|wy-2026-primary|county_local_summary,Sweetwater,wy-2026-primary|county|sweetwater|county-attorney|rep,REP COUNTY ATTORNEY,County Attorney,county,,REP,REP,county,5947c9082afaa5cf507e0ed33a4d62ad34461f1cfbe9ba9976c69385593a5464,2026-08-21T11:30:57Z,,county_summary_pdf_v1,1.1.1,1,verified,https://www.sweetwatercountywy.gov/departments/county_clerk/elections.php,,,county_complete,overvote,Sweetwater,,,,,,0,,wy|sweetwater|wy-2026-primary|county_local_summary|5947c9082afaa5cf507e0ed33a4d62ad34461f1cfbe9ba9976c69385593a5464|wy-2026-primary|county|sweetwater|county-attorney|rep|overvote|overvote|Sweetwater|COUNTY
wy-2026-primary,wy|sweetwater|wy-2026-primary|county_local_summary,Sweetwater,wy-2026-primary|county|sweetwater|county-attorney|rep,REP COUNTY ATTORNEY,County Attorney,county,,REP,REP,county,5947c9082afaa5cf507e0ed33a4d62ad34461f1cfbe9ba9976c69385593a5464,2026-08-21T11:30:57Z,,county_summary_pdf_v1,1.1.1,1,verified,https://www.sweetwatercountywy.gov/departments/county_clerk/elections.php,,,county_complete,undervote,Sweetwater,,,,,,1143,,wy|sweetwater|wy-2026-primary|county_local_summary|5947c9082afaa5cf507e0ed33a4d62ad34461f1cfbe9ba9976c69385593a5464|wy-2026-primary|county|sweetwater|county-attorney|rep|undervote|undervote|Sweetwater|COUNTY
wy-2026-primary,wy|sweetwater|wy-2026-primary|county_local_summary,Sweetwater,wy-2026-primary|county|sweetwater|county-sheriff|rep,REP COUNTY SHERIFF,County Sheriff,county,,REP,REP,county,5947c9082afaa5cf507e0ed33a4d62ad34461f1cfbe9ba9976c69385593a5464,2026-08-21T11:30:57Z,,county_summary_pdf_v1,1.1.1,1,verified,https://www.sweetwatercountywy.gov/departments/county_clerk/elections.php,,,county_complete,candidate,Sweetwater,,,AMANDA BULLER,AMANDA BULLER,,1053,,wy|sweetwater|wy-2026-primary|county_local_summary|5947c9082afaa5cf507e0ed33a4d62ad34461f1cfbe9ba9976c69385593a5464|wy-2026-primary|county|sweetwater|county-sheriff|rep|candidate|AMANDA BULLER|Sweetwater|COUNTY
wy-2026-primary,wy|sweetwater|wy-2026-primary|county_local_summary,Sweetwater,wy-2026-primary|county|sweetwater|county-sheriff|rep,REP COUNTY SHERIFF,County Sheriff,county,,REP,REP,county,5947c9082afaa5cf507e0ed33a4d62ad34461f1cfbe9ba9976c69385593a5464,2026-08-21T11:30:57Z,,county_summary_pdf_v1,1.1.1,1,verified,https://www.sweetwatercountywy.gov/departments/county_clerk/elections.php,,,county_complete,candidate,Sweetwater,,,RICH FISCHER,RICH FISCHER,,1527,,wy|sweetwater|wy-2026-primary|county_local_summary|5947c9082afaa5cf507e0ed33a4d62ad34461f1cfbe9ba9976c69385593a5464|wy-2026-primary|county|sweetwater|county-sheriff|rep|candidate|RICH FISCHER|Sweetwater|COUNTY
wy-2026-primary,wy|sweetwater|wy-2026-primary|county_local_summary,Sweetwater,wy-2026-primary|county|sweetwater|county-sheriff|rep,REP COUNTY SHERIFF,County Sheriff,county,,REP,REP,county,5947c9082afaa5cf507e0ed33a4d62ad34461f1cfbe9ba9976c69385593a5464,2026-08-21T11:30:57Z,,county_summary_pdf_v1,1.1.1,1,verified,https://www.sweetwatercountywy.gov/departments/county_clerk/elections.php,,,county_complete,candidate,Sweetwater,,,RICHARD F. KAUMO,RICHARD F. KAUMO,,1767,,wy|sweetwater|wy-2026-primary|county_local_summary|5947c9082afaa5cf507e0ed33a4d62ad34461f1cfbe9ba9976c69385593a5464|wy-2026-primary|county|sweetwater|county-sheriff|rep|candidate|RICHARD F. KAUMO|Sweetwater|COUNTY
